URL	Author	datePublished	claimReviewed	reviewBody	title	ratingValue	bestRating	alternativeName
httpsapublicaorgtrucoalckminacertaevolucaodopibmasusadadofalsosobreimposto	httpsapublicaorg	2018-07-25	gasto previdenciário pib investimento quas	précandidato presidência geraldo alckmin psdb afirm gasto previdenciário pib investimento quas	alckmin acerta evolução pib usa dado falso sobr imposto agência pública	4.0	8	falso
httpsapublicaorgtrucofrasesdoscandidatosapresidentesobreeconomia	httpsapublicaorg	2018-08-14	hoje estado brasileiro quebrado	ciro gome pdt diss hoje estado brasileiro quebrado	frase candidato president sobr economia agência pública	4.0	8	falso
httpsaosfatosorgnoticiasmicheltemernaovaiapresentarcartaderenuncianoticiaefalsa	httpswwwaosfatosorg	2018-05-28	urgent president temer pode apresentar carta renúncia	governo nega president temer vá renunciar além resposta ofici governo postagem jornal paí oferec ainda série indício atestam tratar notícia falsa tai ausência autoria informaçõ vaga truncada font identificável alarmismo título texto uso urgent letra maiúscula fato identific notícia sobr suposta renúncia temer principai veículo comunicação brasil	michel temer vai apresentar carta renúncia notícia falsa fato	5.0	5	falso
httpsaosfatosorgnoticiasefalsaconversaemquemoropededallagnolquebarrecandidaturadehaddad	httpswwwaosfatosorg	2019-06-10	problema outro haddad vai ganhar força conseguem fazer algo impedir candidatura	falsa imagem circula rede sociai mostra suposto diálogo ministro justiça sergio moro procurador deltan dallagnol tramando impedir candidatura petista fernando haddad presidência site the intercept brasil public último domingo série reportagen mostra mensagen trocada aplicativo telegram integrant operação lava jato inclus moro dallagnol haddad citado diálogo doi outro trecho diálogo aparecem montagem inventado	falsa conversa moro pede dallagnol barr candidatura haddad fato	1.0	5	falso
httpsaosfatosorgnoticiasbolsonaronaoassinoudecretoqueproibeconsumodedrogasemuniversidad	httpswwwaosfatosorg	2019-05-22	bolsonaro assina decreto proíb droga universidad choca aluno	verdad president jair bolsonaro assin decreto dia maio proibindo consumo droga nudez dentro universidad brasileira além existir tal decreto uso droga proibido brasil desd informação publicada originalment site satírico	bolsonaro assin decreto proíb consumo droga universidad fato	1.0	5	falso
httpsapublicaorgtrucocpiderrapaaocalcularmortesdenegrosnobrasil	httpsapublicaorg	2016-06-15	cada minuto ocorr mort jovem negro brasil	relatório final cpi senado sobr assassinato joven elaborado senador lindbergh faria ptrj afirma cada minuto ocorr mort jovem negro brasil	cpi derrapa calcular mort negro brasil agência pública	5.0	8	inconclusivo
httpsapublicaorgtrucoveraluciaerradadossobregrandesempresasnobrasil	httpsapublicaorg	2018-07-05	milhõ empregado ness paí grand empresa empregam milhõ	junta maior empresa segundo levantamento exam indicado précandidata font informação empregam meno mil pessoa entanto inform quantidad funcionário possui portanto dado exam permit calcular exatament quanto empregado maior empresa	vera lúcia erra dado sobr grand empresa brasil agência pública	2.0	8	inconclusivo
httpsapublicaorgtrucoalckminacertaevolucaodopibmasusadadofalsosobreimposto	httpsapublicaorg	2018-07-25	maioria democracia mundo doi máximo trê partido têm voto parlamento	précandidato presidência geraldo alckmin psdb afirm maioria democracia mundo doi máximo trê partido têm voto parlamento	alckmin acerta evolução pib usa dado falso sobr imposto agência pública	8.0	8	verdadeiro
httpsapublicaorgtrucochecamososprincipaiscandidatosavicepresident	httpsapublicaorg	2018-09-14	havia lei nepotismo	ana amélia pp candidata vicepresident chapa geraldo alckmin psdb entrevista folha spaulo diss havia lei nepotismo	checamo principai candidato vicepresident agência pública	8.0	8	verdadeiro
httpsapublicaorgtrucoboulossubestimaonumerodepresosprovisorio	httpsapublicaorg	2018-09-24	população carcerária brasil preso provisório	guilherm boulo psol entrevista ebc afirm população carcerária brasil preso provisório	boulo subestima número preso provisório agência pública	6.0	8	inconclusivo
httpspiauifolhauolcombrlupaverificamosvideocaraca	httpspiauifolhauolcombrlupa	2019-01-23 18:25:54	ene janeiro impresionant vídeo	empti	verificamo vídeo marcha caraca relação juan guaidó	4.0	6	falso
httpsaosfatosorgnoticiasefalsoquepoliticospodemseaposentaraposoitoanosdecontribuicao	httpswwwaosfatosorg	2019-04-11	idad mínima aposentadoria brasil homen ano mulher ano político ano	meme circula rede sociai recorr informaçõ falsa traçar comparaçõ critério aposentadoria imposto trabalhador político publicação engana sugerir idad mínima proposta projeto reforma previdência estariam vigor ocupant cargo eletivo hoje aposentam apó oito ano contribuição verdad	falso político podem aposentar apó oito ano contribuição fato	1.0	5	falso
httpsapublicaorgtrucocirogomesexageradadossobretrabalhoimpostoseseguranca	httpsapublicaorg	2018-07-27	brasil negro população carcerária	candidato presidência ciro gome pdt afirm brasil negro população carcerária	ciro gome exagera dado sobr trabalho imposto segurança agência pública	4.0	8	falso
httpsaosfatosorgnoticiasefalsaanoticiadequebolsonaroarticuloucombispomacedomudancanapadroeiradobrasil	httpswwwaosfatosorg	2018-10-16	encontro bolsonaro bispo edir macedo gera polêmica sugerir troca imagem padroeira brasil	forjada reportagem mostra candidato presidência república jair bolsonaro psl bispo edir macedo reunião conversaram sobr mudança imagem padroeira brasil senhoraaparecida além história boato imagem vem circulando rede sociai atestar confiabilidad falseia primeira página caderno cotidiano folha spaulo imagem segu padrão gráfico jornal passa montagem grosseira	falsa notícia bolsonaro articul bispo macedo mudança imagem padroeira brasil fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamoslulasuzano	httpspiauifolhauolcombrlupa	2019-03-20 18:49:15	tirem própria conclusõ	empti	verificamo falsa foto mostra atirador suzano fazendo letra l lula mão	4.0	6	falso
httpsaosfatosorgnoticiasefalsaalistaquepoeoptcomomaiororganizacaocriminosadomundo	httpswwwaosfatosorg	2018-11-23	pt apareceu segundo lugar lista maior organizaçõ criminosa mundo desvio dinheiro público ordem r bilhõ	verdad pt aparec segundo lugar lista dez maior organizaçõ criminosa mundo perdendo apena máfia russa tal rank nunca existiu assim instituiçãoqu elabor informaçõ falsa circulam internet desd voltaram ganhar força último dia publicação página direita volver facebook	falsa lista põe pt ª maior organização criminosa mundo fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosdipironavenezuela	httpspiauifolhauolcombrlupa	2018-06-28 16:41:23	novo dipirona importado venezuela brasil contém víru	empti	verificamo dipirona importada venezuela contém víru	4.0	6	falso
httpsapublicaorgtrucochecamosargumentosdossenadoressobreapecdotetodegastosecontaspublica	httpsapublicaorg	2016-11-09	teto sendo estabelecido teto gasto orçamento serv gasto primário gasta saúd educação cultura ciência tecnologia segurança agricultura pagamento pessoal programa sociai gasto financeiro dess limit gasto	senadora vanessa grazziotin pcdobam afirm outubro teto gasto orçamento serv gasto primário gasta saúd educação cultura ciência tecnologia segurança agricultura pagamento pessoal programa sociai gasto financeiro dess limit gasto	checamo argumento senador sobr pec gasto conta pública agência pública	8.0	8	verdadeiro
httpspiauifolhauolcombrlupaverificamostwitternaoremoveumencoesbolsonarodurantedebatenaband	httpspiauifolhauolcombrlupa	2018-08-10 21:08:23	twitter remov mençõ bolsonaro	empti	verificamo twitter removeu mençõ bolsonaro durant debat band	4.0	6	falso
httpsapublicaorgtrucoverdadesementirasmisturamseemcorrentecontrahaddad	httpsapublicaorg	2018-10-18	haddad deixou prefeitura paulo avaliado pior prefeito história	corrent circula whatsapp diz haddad deixou prefeitura paulo avaliado pior prefeito história	verdad mentira misturams corrent contra haddad agência pública	8.0	8	verdadeiro
httpsapublicaorgtrucoblefesemeiasverdadessobreopres	httpsapublicaorg	2016-02-26	brasil vai cumprir meta plano nacion educação part prevê investimento saído présal petrobra condiçõ	senador cristovam buarqu ppsdf diss brasil condiçõ cumprir plano nacion educação conta crise petrobra	blefe meiasverdad sobr présal agência pública	7.0	8	inconclusivo
httpsapublicaorgtrucorodrigomaiausadadossemcontextosobreeducacao	httpsapublicaorg	2018-06-15	brasileiro ganham têm vaga universidad pública distorção	précandidato presidência rodrigo maia dem afirm brasileiro ganham têm vaga universidad pública	rodrigo maia usa dado contexto sobr educação agência pública	7.0	8	inconclusivo
httpspiauifolhauolcombrlupaverificamosbolsonarodegustador	httpspiauifolhauolcombrlupa	2018-12-06 16:57:33	bolsonaro contrat degustador	empti	verificamo bolsonaro contrat degustador medo envenenamento	4.0	6	falso
httpsaosfatosorgnoticiastabelaquecomparacortesnaeducacaosubestimavalorbloqueadoporbolsonaro	httpswwwaosfatosorg	2019-05-23	ano contingenciamento educação porqu ness ano manifestação	tabela compara tamanho contingenciamento orçamentário educação desd governo lula subestima valor bloqueio gestão bolsonaro vez anunciadosr bilhõ peça afirma mec cortado r bilhõ despesa volum correspond soment redução universidad federai além desta distorção informaçõ tabela imprecisa apontar contingenciado área citar valor represado devida correção inflação	tabela compara cort educação subestima valor bloqueado bolsonaro fato	3.0	5	falso
httpsapublicaorgtrucodilmadizqueempresasdeixaramdeinvestirparaaumentarlucromaseimpossivelprovar	httpsapublicaorg	2017-04-18	erro desoneração porqu invé investir aumentaram margem lucro custa fragilidad conta pública	entrevista publicada março jornal valor econômico expresident república dilma rousseff afirm política desoneraçõ fiscai erro vez investir empresário aumentaram margem lucro custa fragilidad conta pública	dilma diz empresa deixaram investir aumentar lucro impossível provar agência pública	2.0	8	inconclusivo
httpsapublicaorgtrucoverdadesementirasmisturamseemcorrentecontrahaddad	httpsapublicaorg	2018-10-18	apesar haddad ter sido ministro educação hoje estudant têm desempenho insuficient portuguê matemática	corrent circula whatsapp diz apesar haddad ter sido ministro educação hoje estudant têm desempenho insuficient portuguê matemática	verdad mentira misturams corrent contra haddad agência pública	1.0	8	falso
httpsapublicaorgtrucochecamosfrasesderodrigomaiasobrecunhacpmfbolsafamiliaecris	httpsapublicaorg	2016-07-22	política irresponsabilidad fiscal gerou milhõ desempregado crescimento negativo brutal brasil	entrevista programa roda viva tv cultura president câmara rodrigo maia demrj afirm irresponsabilidad fiscal gerou milhõ desempregado crescimento negativo brutal brasil	checamo frase rodrigo maia sobr cunha cpmf bolsa família crise agência pública	4.0	8	falso
httpsapublicaorgtrucorodrigomaiausadadossemcontextosobreeducacao	httpsapublicaorg	2018-06-15	criança crech brasil	précandidato presidência rodrigo maia dem afirm apena criança crech brasil	rodrigo maia usa dado contexto sobr educação agência pública	1.0	8	falso
httpsaosfatosorgnoticiasnaoeverdadequealunosdeuniversidadefederalcriaramateliedeartean	httpswwwaosfatosorg	2019-05-13	aluno universidad feder criam ateliê art anal quero imaginar coloc tinta aí	tirada brasil relação qualquer universidad feder brasileira foto artista esguicha tinta próprio ânu tela branca imagem verdad série performática americano keith boadwe realizada foto vem sendo utilizada registro suposto ateliê art anal criado aluno alguma instituição feder	verdad aluno universidad feder criaram ateliê art anal fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamoscatedralcampinaspt	httpspiauifolhauolcombrlupa	2018-12-13 19:44:58	assassino campina filiado pt atirando indiscriminadament local religioso	empti	verificamo homem abriu fogo catedr campina filiado pt	4.0	6	falso
httpsaosfatosorgnoticiashomememfotocomgleisihoffmannnaoeoagressordebolsonaro	httpswwwaosfatosorg	2018-09-14	foto gleisi hoffmannfoi encontrada celular doassassinoadélio bispo oliveira autor atentado contra jair messiasbolsonaro	falsa informação circula rede sociai agressor presidenciável jair bolsonaro psl fotografado lado senadora gleisi hoffmann president pt homem aparec selfi petista divulgado publicação viral adélio bispo oliveira possui semelhança física responsável atentado	homem foto gleisi hoffmann agressor bolsonaro fato	1.0	5	falso
httpsapublicaorgtrucoministrousainformacaofalsaaocriticardilmaportransposicaodosaofrancisco	httpsapublicaorg	2017-03-30	ano dilma conseguiu entregar obra transposição rio francisco entregamo sei mese	postagem twitter dia março ministrochef secretariager presidência moreira franco pmdb afirm governo michel temer pmdb concluiu sei mese transposição rio francisco enquanto governo dilma rousseff pt conseguiu fazer sei ano	ministro usa informação falsa criticar dilma transposição francisco agência pública	1.0	8	falso
httpsapublicaorgtrucohaddaderrahistoricoeleitoraldepaulomaluf	httpsapublicaorg	2018-10-10	sabe maluf aqui paulo quas ganhou dua eleiçõ voto turno perdeu turno	fernando haddad candidato presidência pt entrevista rádio guaíba disss maluf paulo quas ganhou dua eleiçõ voto turno perdeu turno	haddad erra histórico eleitor paulo maluf agência pública	1.0	8	falso
httpsapublicaorgtrucofrasesdoscandidatosapresidentesobreeconomia	httpsapublicaorg	2018-08-14	brasil participação mercado exterior	geraldo alckmin psdb afirm brasil participação mercado exterior	frase candidato president sobr economia agência pública	7.0	8	inconclusivo
httpspiauifolhauolcombrlupaverificamosglauberbragaagredidopatricial	httpspiauifolhauolcombrlupa	2019-07-05 16:13:36	glauber braga acusado jornalista patrícia léli agressão rolou época diss glauber chantageava prometendo liberar foto vídeo íntimo	empti	verificamo falso glauber braga agredido patrícia léli	4.0	6	falso
httpsaosfatosorgnoticiasjoaodedeusnaoerafiliadoaoptnemdoouparacampanhadebolsonaro	httpswwwaosfatosorg	2018-12-28	joão deu ano filiação pt feminista calada santa hipocrisiao charlatão estuprador joão deu gastou milhõ campanha amigo bolsonaro troca	verdad joão deu acusado agressão sexual centena mulher filiado pt ano publicaçõ circulam rede sociai apontam falsament homônimo paulo integrant partido desd médium abadiânia goiá joão deu associado dem segundo dado tse tribun superior eleitoraltambém falsa informação médium doado r milhõ campanha president eleito jair bolsonaro psl valor superior total declarado então candidato justiça eleitor dado tse registram doação joão deu nenhum candidato última trê eleiçõ	joão deu filiado pt doou campanha bolsonaro fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamoslulapensaomarisa	httpspiauifolhauolcombrlupa	2019-02-05 14:52:01	dona marisa funcionária congresso nacion salário r sendo nunca prestou concurso público pior lula irá receb pensão	empti	verificamo lula receb pensão congresso mort marisa letícia	4.0	6	falso
httpsapublicaorgtrucooquehaportrasdaquedanodesmatamentocelebradaportem	httpsapublicaorg	2017-09-22	dado último ano indicam diminuição desmatamento amazônia	discurso assembleia geral onu president michel temer afirm primeiro dado disponívei período agosto julho indicam diminuição desmatamento amazônia	trá queda desmatamento celebrada temer agência pública	7.0	8	inconclusivo
httpsaosfatosorgnoticiasmarisaleticianaodeixouherancademilhoesvalorcorrespondeaopatrimoniodelaedelula	httpswwwaosfatosorg	2018-12-10	marisa letícia empregada doméstica dona casa deixou herança r milhõ	verdad exprimeira dama marisa letícia deixou herança r milhõ afirmam publicaçõ rede sociai valor mencionado referes patrimônio casal lula silva hoje atualizado r milhõ dess total metad herdada quatro filho expresident	marisa letícia deixou herança r milhõ valor correspond patrimônio lula fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamospapafranciscobiblia	httpspiauifolhauolcombrlupa	2019-04-25 17:46:26	papa francisco cancela bíblia propõ criar novo livro	empti	verificamo falso papa francisco cancel bíblia propô criar novo livro	4.0	6	falso
httpspiauifolhauolcombrlupaverificamoslulamilitar	httpspiauifolhauolcombrlupa	2019-04-01 07:03:26	militar botando lula pra correr desd foto	empti	verificamo foto mostra militar botando lula pra correr feita	4.0	6	falso
httpsapublicaorgtrucogleisiexageranumerodeaposentadosquerecebemsalariominimo	httpsapublicaorg	2017-02-15	hoje aposentado previdência ganha salário mínimo	entrevista rádio brasil atual senadora gleisi hoffmann ptpr afirm toda pessoa recebem aposentadoria previdência social ganham salário mínimo	senadora exagera número aposentado recebem salário mínimo agência pública	4.0	8	falso
httpsapublicaorgtrucoimagemsobretrajetoriadepedroparentefazacusacoesfalsa	httpsapublicaorg	2018-06-06	estour dívida externa itamar parent fmi	mensagem whatsapp afirma estour dívida externa itamar parent fmi	imagem sobr trajetória pedro parent faz acusaçõ falsa agência pública	8.0	8	verdadeiro
httpsaosfatosorgnoticiasmanifestanteprogovernonaoergueucartazsergiomoroebompraburro	httpswwwaosfatosorg	2019-07-01	sergio moro bom pra burro	editada foto circula rede sociai mostra manifestant prógoverno segurando cartaz mensagem sérgio moro bom pra burro imagem origin registrada maio protesto dest domingo frase aparec cartaz president	manifestant prógoverno ergueu cartaz ‘ sergio moro bom pra burro ’ fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamostuiteditadura	httpspiauifolhauolcombrlupa	2019-03-11 14:23:02	vamo ver falando falando dessa jornalista aqui falou brasil virou ditadura mort mariel deixou bem claro	empti	verificamo jornalista estadão tuít diz brasil virou ditadura	4.0	6	falso
httpspiauifolhauolcombrlupaverificamospapaterco	httpspiauifolhauolcombrlupa	2018-06-12 16:00:56	papa envia terço lula	empti	verificamo papa francisco enviou terço lula	4.0	6	inconclusivo
httpsapublicaorgtrucochecamosfrasesdejairbolsonaro	httpsapublicaorg	2017-04-05	estadomaior força armada fez estudo mostrando longo ano verdad militar trabalhava	ainda todo militar média jornada citada tabela comparação desconsidera existência hora extra prestada servidor civi part ideia ano serviço dess trabalhador renderiam ano impossível saber analisar dado	checamo frase jair bolsonaro agência pública	2.0	8	inconclusivo
httpsaosfatosorgnoticiasfotodemarchalulalivredeecompartilhadacomosefossedemanifestacaopelaeducacao	httpswwwaosfatosorg	2019-05-31	resumo manifestaçõ hoje educação maconha sabem porqu ali lula livr	imagem marcha pediu registro candidatura expresident lula eleiçõ ano passado sendo compartilhada protesto realizado última quinta peça desinformação suger manifestant mobilizaram educação liberdad petista	foto marcha lula livr compartilhada ato educação fato	1.0	5	falso
httpsapublicaorgtrucochecamosfrasesdavotacaodadenunciacontratem	httpsapublicaorg	2017-08-02	paí encontrava literalment paralisado conta pública desordem déficit fiscal crescent indústria parada exportaçõ colapso quadro somavams dano inflação alta braço dado juro insuportávei além desastr petrobra setor elétrico	deputado feder paulo abiackel psdbmg relat parec rejeita denúncia contra temer afirm temer assumiu paí encontrava literalment paralisado conta pública desordem déficit fiscal crescent indústria parada exportaçõ colapso quadro somavams dano inflação alta juro insuportávei além desastr petrobra setor elétrico	checamo frase votação denúncia contra temer agência pública	8.0	8	verdadeiro
httpsaosfatosorgnoticiasorcamentodaeducacaonogovernobolsonaronaoeomaiordahistoria	httpswwwaosfatosorg	2019-06-11	portal transparência mostra gestão bolsonaro maior orçamento educação história	verdad dado portal transparência mostram orçamento governo bolsonaro educação maior história apesar contingenciamento anunciado abril desinformação consta artigo publicado blog instituto politeia confira aqui hospedado site jornal gazeta povo sido replicado publicaçõ rede sociai último dia veja exemplo aqui	orçamento educação governo bolsonaro ‘ maior história ’ fato	1.0	5	falso
httpsaosfatosorgnoticiasfotodecheguevaraexecutandomulheresenaverdadedepecateatralnoseua	httpswwwaosfatosorg	2018-12-28	rara fotografia imagem herói guerra cubano che guevara batalha lutando ferozment contra inimnigo superior armado dent saiu vitorioso lembrar revolução comunista implant democracia cuba tornou país próspero adiantado mundo	foto preto branco homem apontando arma dua mulher sido compartilhada rede sociai último dia retratass che guevara realidad registro peça teatral encenada eua	foto che guevara executando mulher verdad peça teatral eua fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosvideosoldado	httpspiauifolhauolcombrlupa	2019-01-29 19:47:35	equipamento israelens tiraram lama criança vida choro soldado israelens comov raça instal gangren paí vídeo	empti	verificamo falso vídeo soldado israelens resgatando bebê brumadinho	4.0	6	falso
httpspiauifolhauolcombrlupaverificamostrumpbolsonaro	httpspiauifolhauolcombrlupa	2018-10-28 16:23:45	trump mostra camiseta próbolsonaro imagem	empti	verificamo falsa foto trump camiseta próbolsonaro	4.0	6	falso
httpsaosfatosorgnoticiasnaoeverdadequemilusuariossairamdobolsafamiliapormedodeauditoriadebolsonaro	httpswwwaosfatosorg	2019-01-11	governo bolsonaro dia governo tira meio milhão pessoa pobreza medo auditoria causa debandada beneficiário bolsa família	número verdad correspond número família deixaram receb benefício voluntariament desd publicaçõ analisada trazem montagem fazer parec informação falsa consta site secretaria especi desenvolvimento social dado desligamento bolsa família divulgado fim cada mê possível saber ainda quanto beneficiário saíram programa desd novo governo assumiu semana passada	verdad mil usuário saíram bolsa família medo auditoria bolsonaro fato	1.0	5	falso
httpsapublicaorgtrucodadosfalsoseomissoesmarcamestatutodoarmamento	httpsapublicaorg	2017-10-27	dentr país maior número arma fogo registrada habitant mundo encontrams islândia arma cada habitant taxa homicídio arma fogo cada mil habitant alemanha arma p hab homicídio mil hab ustria arma p hab homicídio mil hab canadá arma p hab homicídio mil hab uruguai arma p hab homicídio mil hab	justificativa projeto estatuto armamento senador wilder morai ppgo afirm dentr país maior número arma fogo registrada habitant mundo encontrams islândia alemanha ustria canadá uruguai	dado falso omissõ marcam estatuto armamento agência pública	7.0	8	inconclusivo
httpspiauifolhauolcombrlupaverificamosaloysiozelia	httpspiauifolhauolcombrlupa	2019-07-17 13:23:08	lembrar pt nomeou embaixador eua aloísio sic nune	empti	verificamo falso aloysio nune zélia embaixador washington	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosmaefilhabolsashop	httpspiauifolhauolcombrlupa	2018-12-05 18:15:15	mãe disfarçando criança conseguir roubar bolsa mulher shop rio janeiro vídeo	empti	verificamo vídeo mãe usa filha furtar bolsa gravado rj	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosglobomanifestaco	httpspiauifolhauolcombrlupa	2018-10-01 15:14:48	jornal globo publica foto manifestação antiga esqueceram apagar prédio traz sic desmoron imagem	empti	verificamo foto globo mostra prédio desab	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosdilmarousseffsalaobeleza	httpspiauifolhauolcombrlupa	2019-04-10 14:38:50	michel arrecad chá beneficent milhõ doaçõ causa sociai	empti	verificamo falso dilma rousseff gastou r milhõ salão beleza	4.0	6	verdadeiro
httpspiauifolhauolcombrlupaverificamosmorocartapublica	httpspiauifolhauolcombrlupa	2018-05-29 18:44:17	juiz sergio moro manda carta pública povo brasileiro	empti	verificamo moro mandou carta pública povo brasileiro	4.0	6	falso
httpsaosfatosorgnoticiaslivrodehaddadnaocitaosmandamentosdeleninquetambemsaofalsosvejafoto	httpswwwaosfatosorg	2018-10-17	livro haddad cita mandamento lênin	enganosa montagem circula rede sociai mostra capa livro autoria presidenciável pt fernando haddad lado dua foto página decálogo lênin dez mandamento página aparecem foto fazem part livro escrito candidato evidencia foto tirada fato página mesma numeração livro haddad além disso lista dez mandamento atribuída lênin escrita líder revolução russa	livro haddad cita mandamento lênin falso veja foto fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamossargentoteori	httpspiauifolhauolcombrlupa	2019-02-14 19:55:16	mort teori zavascki sargento marcond filiado pt apag fita torr comando foragido	empti	falso sargento apagado registro sonoro acident teori	4.0	6	falso
httpspiauifolhauolcombrlupaverificamoslistabolsonaro	httpspiauifolhauolcombrlupa	2019-04-17 07:00:57	mandou chefe grand facçõ presídio segurança máxima	empti	verificamo publicação lista açõ bolsonaro trê mese sete verdadeira	4.0	6	falso
httpsapublicaorgtruconenhumpaisadotoutetodegastoscomoodapec	httpsapublicaorg	2016-10-25	vale pena destacar caso positivo fixação teto gasto todo país adotaram sistemática recuperaram economia holanda exemplo adot limit conseguiu reduzir relação dívidapib enxug despesa juro pib tempo desemprego caiu	trecho relatório pec câmara autoria deputado darcísio perondi pmdbr destaca caso positivo fixação teto gasto segundo documento todo país adotaram sistemática recuperaram economia	nenhum paí adot teto gasto pec agência pública	4.0	8	falso
httpspiauifolhauolcombrlupaverificamossegurancacarrefouragredidoosasco	httpspiauifolhauolcombrlupa	2018-12-07 18:54:03	segurança matou cachorro carrefour espancado popular osasco	empti	verificamo falso segurança carrefour acusado matar cachorro agredido osasco	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosloirabeijadalulamissagleisi	httpspiauifolhauolcombrlupa	2018-12-18 23:28:18	gleisi hoffmann beijou lula apó missa homenagem marisa letícia imagem	empti	verificamo loira beijada lula apó missa gleisi hoffmann	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosapreensaourna	httpspiauifolhauolcombrlupa	2018-10-06 11:06:11	acab dar record pf prend van urna eletrônica dessa preenchida voto haddad meno voto	empti	falsa notícia pf apreendeu van urna manipulada	4.0	6	falso
