URL	Author	datePublished	claimReviewed	reviewBody	title	ratingValue	bestRating	alternativeName
httpsaosfatosorgnoticiasnaoeverdadequefatimabernardesreformoucasadoagressordebolsonaro	httpswwwaosfatosorg	2018-09-14	fátima bernard faz surpresa reforma casa família esfaqueador bolsonaro	publicação site mídia imparci título fátima bernard faz surpresa reforma casa família esfaqueador bolsonaro baseada informação falsa programa encontro fátima tv globo sequer exib quadro faz reforma casasna verdad tema edição quarta encontro fátima aprendendo derrota programa participação famoso consultor gustavo cerbasi fez anális sobr assunto	verdad fátima bernard reform casa agressor bolsonaro fato	1.0	5	falso
httpsapublicaorgtrucoemartigoescritodaprisaoluladistorcedado	httpsapublicaorg	2018-05-25	tiramo milhõ pessoa miséria extrema	artigo le mond expresident luiz inácio lula silva pt diss tirou milhõ pessoa miséria extrema	artigo escrito prisão lula distorc dado agência pública	4.0	8	falso
httpsapublicaorgtrucoemfrasesdoscandidatosoqueecertoeerradosobreeducacao	httpsapublicaorg	2018-08-16	havia milhõ aluno rede estadu paulo hoje milhõ porqu meno criança	geraldo alckmin psdb afirm havia milhõ aluno rede estadu paulo hoje milhõ porqu meno criança	frase candidato certo errado sobr educação agência pública	7.0	8	inconclusivo
httpspiauifolhauolcombrlupaverificamosassaltomma	httpspiauifolhauolcombrlupa	2019-01-08 18:06:52	promotor manda prender lutadora ufc reagiu assalto espanc criminoso rio janeiro	empti	falso lutadora prisão decretada apó reagir assalto rj	4.0	6	falso
httpsapublicaorgtrucopecdasdiretasaindatemlongocaminho	httpsapublicaorg	2017-06-02	grand vitória dia histórico contra tudo contra todo pec eleiçõ direta vai andar vamo conseguir recuperar democracia	apó aprovação pec institui eleiçõ direta president deixar cargo ano ant final senador lindbergh faria ptrj afirm resultado grand vitória dia histórico pec aprovada contra tudo contra todo	pec direta ainda longo caminho agência pública	4.0	8	falso
httpspiauifolhauolcombrlupaverificamoslulajesuscristopresident	httpspiauifolhauolcombrlupa	2019-06-26 14:10:18	volta jesu cristo vai impedir assumir presidência república	empti	verificamo falso lula dito volta jesu cristo iria impedilo president	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosmiriamleitaolamarca	httpspiauifolhauolcombrlupa	2019-07-22 17:16:52	inocent miriam leitão segurando inocent furadeira	empti	verificamo falso imagem antiga mostr miriam leitão arma guerrilha	4.0	6	falso
httpspiauifolhauolcombrlupaverificamospabllovittartvglobo	httpspiauifolhauolcombrlupa	2019-03-29 17:01:55	cantor pabllo vittar fechou contrato ano globo apresentar programa tv criança gay	empti	verificamo falso pabllo vittar apresentará programa infantil tv globo	4.0	6	falso
httpsaosfatosorgnoticiascapadarevistacharliehebdocomgleisihoffmannemontagem	httpswwwaosfatosorg	2019-01-18	moral gleisi frança excelent	falsa capa revista francesa charli hebdo senadora deputada feder eleita gleisi hoffmann ptpr bandeira pt dizer pavilhão corrupção montagem feita unindo part capa verdadeira edição fevereiro desenho cartunista adão iturrusgarai sobr colado rosto petista estandart partido	capa revista charli hebdo gleisi hoffmann montagem fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosbrbolsonaro	httpspiauifolhauolcombrlupa	2019-02-25 15:56:59	br pará ant br pará agora apena dia governo bolsonaro	empti	verificamo falso obra br começado bolsonaro	4.0	6	falso
httpsapublicaorgtrucocirogomesexageradadossobretrabalhoimpostoseseguranca	httpsapublicaorg	2018-07-27	negro vítima assassinato	candidato presidência ciro gome pdt afirm negro vítima assassinato	ciro gome exagera dado sobr trabalho imposto segurança agência pública	4.0	8	falso
httpspiauifolhauolcombrlupaverificamosfatimabernardesesfaqueador	httpspiauifolhauolcombrlupa	2018-09-14 20:07:58	fátima bernard faz surpresa reforma casa família esfaqueador bolsonaro	empti	verificamo fátima bernard reform casa família esfaqueador bolsonaro	4.0	6	falso
httpsaosfatosorgnoticiasmamadeiraseroticasnaoforamdistribuidasemcrechespelopt	httpswwwaosfatosorg	2018-09-28	olha pt est colocando crech deu cu	falsa afirmação mamadeira bico borracha formato pêni distribuída crech pt combat homofobia vídeo publicado usuário facebook dia setembro autor gravação mostra objeto diz mamadeira distribuída crech filho desculpa combat homofobia vídeo menciona unidad ensino município estado ocorreria suposta distribuição ainda afirma trata part kit gay invenção haddad referência candidato presidência pt fernando haddad	mamadeira erótica distribuída crech pt fato	1.0	5	falso
httpsapublicaorgtrucocomdadofalsopostdizqueatoprobolsonaroreuniumilhaoemsp	httpsapublicaorg	2018-10-01	segundo pm milhão pessoa apoiaram jair bolsonaro manifestação avenida paulista tard domingo	eduardo bolsonaro psl candidato deputado feder afirm post facebook dia setembro segundo pm milhão pessoa apoiaram jair bolsonaro manifestação avenida paulista tard domingo	dado falso post diz ato próbolsonaro reuniu milhão sp agência pública	1.0	8	falso
httpsapublicaorgtrucomeirellesexageraaodizerquehamilobrasparadasnobrasil	httpsapublicaorg	2018-09-06	paí obra paralisada financiada governo feder todo segmento infraestrutura física social envolvendo r bilhõ	henriqu meirel mdb plano governo registrado tribun superior eleitor tse diss paí obra paralisada financiada governo feder todo segmento infraestrutura física social envolvendo r bilhõ	meirel exagera dizer mil obra parada brasil agência pública	4.0	8	falso
httpspiauifolhauolcombrlupaverificamosdisneyfilm	httpspiauifolhauolcombrlupa	2019-05-15 20:57:58	imagem film novo disney criança vamo ficar ligado possível enviar grupo alertar família	empti	verificamo imagem mostra personagen beijando novo film disney	4.0	6	verdadeiro
httpspiauifolhauolcombrlupaverificamosenemaovivo	httpspiauifolhauolcombrlupa	2018-11-03 12:30:15	enem acertei questõ linguagen ciência humana assim nota linguagen pode maior humana	empti	verificamosenem checamo vivo informaçõ circulam rede	4.0	6	verdadeiro
httpsaosfatosorgnoticiascartaalulaquecirculanasredesnaofoiescritapelacantoramariabethania	httpswwwaosfatosorg	2019-04-30	carta maria bethânia lula lula solto mo	autoria cantora maria bethânia carta destinada expresident lula circula rede sociai além ter sido encontrado nenhum site confiável assinado diferent maneira diferent publicaçõ assessoria artista negou fato maria bethânia escreveu texto	carta lula circula rede escrita cantora maria bethânia fato	1.0	5	falso
httpspiauifolhauolcombrlupaverificamosroraima	httpspiauifolhauolcombrlupa	2018-08-27 15:00:38	edit concurso polícia civil roraima pedindo conhecimento espanhol candidato querem policiai	empti	verificamo texto imagen sobr crise migratória roraima misturam dado certo errado	4.0	6	verdadeiro
httpspiauifolhauolcombrlupaverificamosbolsonarolibra	httpspiauifolhauolcombrlupa	2019-01-02 19:02:12	marido votou contra	empti	bolsonaro votou contra lei regulamenta profissão intérpret libra	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosenemaovivo	httpspiauifolhauolcombrlupa	2018-11-03 12:30:15	proibido levar lanch prova enem	empti	verificamosenem checamo vivo informaçõ circulam rede	4.0	6	falso
httpsapublicaorgtrucoaldorebelousadadosfalsossobregolpedecopaeamazonia	httpsapublicaorg	2018-06-08	código florest lei rigorosa mundo	presidenciável aldo rebelo sd afirm código florest lei rigorosa mundo	aldo rebelo usa dado falso sobr golp copa amazônia agência pública	2.0	8	inconclusivo
httpsapublicaorgtrucochecamosfrasesderodrigomaiasobrecunhacpmfbolsafamiliaecris	httpsapublicaorg	2016-07-22	dem ajudamo derrubar cpmf vitória class média brasileira	entrevista programa roda viva tv cultura president câmara rodrigo maia demrj afirm dem ajud derrubar cpmf	checamo frase rodrigo maia sobr cunha cpmf bolsa família crise agência pública	7.0	8	inconclusivo
httpsapublicaorgtrucoreformadaprevidenciasobradinheironaseguridadesoci	httpsapublicaorg	2017-04-20	falácia dizer exist déficit dez ano sobra r bilhõ	entrevista publicada dezembro guilherm portanova assessor jurídico confederação brasileira aposentado pensionista brasil cobap afirm falácia dizer exist déficit seguridad social segundo sobra r bilhõ	reforma previdência sobra dinheiro seguridad social agência pública	5.0	8	inconclusivo
httpsaosfatosorgnoticiasfotosdeprotestonaigrejauniversalsaodeenaotemvercomapoiodebispomacedobolsonaro	httpswwwaosfatosorg	2018-10-04	apó bispo edir macedo declarar apoio bolsonaro manifestant esquerda protestam frent igreja univers	publicação feita facebook nesta segundafeira traz foto protesto engana dizer mostram manifestant esquerda protestando frent templo igreja univers reino deu apó bispo edir macedo declarar apoio bolsonaro informação falsa poi fotografia post tirada maio florianópoli sc durant terceira edição marcha vadia portanto qualquer relação declaração voto bispo noticiada sábado	foto protesto igreja univers têm ver apoio bispo macedo bolsonaro fato	1.0	5	falso
httpsaosfatosorgnoticiasfotoderodrigosantorocomcamisadeapoiobolsonaroefalsa	httpswwwaosfatosorg	2018-10-06	nunca precis lei rouanet artista brasileiro conhecido hollywood taí diferença	foto ator rodrigo santoro aparec praia vestindo camiseta branca estampa publicada diverso blog portai rede sociai desd inclus página agência modelo ator portug portanto foto antiga montagem veiculada rede sociai imprim branco camiseta estampa foto jair bolsonaro dizer bolsonaro president	foto rodrigo santoro camisa apoio bolsonaro falsa fato	1.0	5	falso
httpsapublicaorgtrucochecamosfrasesderodrigomaiasobrecunhacpmfbolsafamiliaecris	httpsapublicaorg	2016-07-22	família empresa brasileira excessivament endividada	entrevista programa roda viva tv cultura president câmara rodrigo maia demrj afirm família empresa brasileira excessivament endividada	checamo frase rodrigo maia sobr cunha cpmf bolsa família crise agência pública	3.0	8	falso
httpspiauifolhauolcombrlupaverificamosatosaudebolsonaro	httpspiauifolhauolcombrlupa	2018-09-16 22:00:37	ato campina prol saúd president jair messia bolsonaro vídeo	empti	verificamo vídeo mostra ato campina prol saúd bolsonaro	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosestradabolsonaronordesterj	httpspiauifolhauolcombrlupa	2019-03-21 08:23:20	bolsonaro destaca inauguração rodovia meno dia nordest	empti	verificamo foto estrada bolsonaro inaugur nordest mostra rodovia rj	4.0	6	falso
httpsaosfatosorgnoticiasnaohaprojetodeleiparalegalizarpedofiliaimagemdistorceprojetodenovocodigopen	httpswwwaosfatosorg	2018-10-15	pl torna pedofilia ato legal sexo criança partir ano deixaria crime	circula rede sociai montagem foto criança sendo silenciada mão adulta frase torna pedofilia ato legal sexo criança partir ano deixaria crime imagem cita pl ainda tramitação distorc projeto texto verdad proposta reforma código penal brasileiro legaliza pedofiliauma nova redaçõ projeto verdad diminui ano idad máxima vítima qualquer relação sexual considerada estupro polêmica proposta significa sexo criança legalizado	projeto lei legalizar pedofilia imagem distorc projeto novo código penal fato	1.0	5	falso
httpsapublicaorgtrucobolsonarodisparadadosfalsossobreeconomiasaudeeeducacao	httpsapublicaorg	2018-05-18	questão saúd bucal responsável prematuro	entrevista rádio super notícia presidenciável jair bolsonaro psl diss questão saúd bucal responsável prematuro	bolsonaro dispara dado falso economia saúd educação agência pública	1.0	8	falso
httpsaosfatosorgnoticiascartazprobolsonaronaousouforcaemvezdeforcaimagemfoieditada	httpswwwaosfatosorg	2019-05-27	sabemo fácil forca	verdad banner manifestant ato prógoverno último domingo deseja forca invé força equip president jair bolsonaro manipulada digitalment foto cedilha palavra força apagada acab viralizando verdadeira usuário contrário protesto	cartaz próbolsonaro usou ‘ forca ’ vez ‘ força ’ imagem editada fato	1.0	5	falso
httpsapublicaorgtrucohaddadexageraebolsonaroerraemfrasessobreeducacao	httpsapublicaorg	2018-10-26	levei universidad federai cidad brasileira	fernando haddad pt entrevista sbt diss levou universidad federai cidad brasileira	haddad exagera bolsonaro erra frase sobr educação agência pública	4.0	8	falso
httpspiauifolhauolcombrlupaverificamosguineequatori	httpspiauifolhauolcombrlupa	2018-09-18 19:22:58	vicepresident guiné equatori preso tentar entrar brasil milhõ dólare dinheiro	empti	verificamo guiné equatori vária obra bilionária feita dinheiro bnde lula perdoou dívida	4.0	6	falso
httpspiauifolhauolcombrlupaverificamosmariellepresothiago	httpspiauifolhauolcombrlupa	2019-04-01 17:31:38	assassino descoberto pm branco ligado trfico mídia fala mariel mariel morta thiago macaco negro origem pobr bandido ond branco racista polici homofóbico esquerda globo inventaram	empti	verificamo falso thiago macaco identificado assassino mariel	4.0	6	falso
httpspiauifolhauolcombrlupaverificamoseduardosargento	httpspiauifolhauolcombrlupa	2019-06-28 15:52:15	militar preso quilo cocaína avião presidenci coincidência	empti	verificamo montagem foto mostra eduardo bolsonaro lado sargento preso transportar cocaína	4.0	6	falso
httpsapublicaorgtrucochecamosargumentosproecontraoimpeach	httpsapublicaorg	2016-04-14	nest caso pedalada prática aceita brasil década nest caso cort conta aceitavam situação reprimila nest caso mudança orientação quer aplicar retroativament tipificação crime existiss ant mudança jurisprudenci doi caso exist nest caso quer pegar pretexto construir figura crime responsabilidad	josé eduardo martin cardozo ministro advocaciager união encarregado defesa president dilma afirm mudança entendimento tribun conta união tcu relação pedalada fiscai	checamo argumento pró contra impeach agência pública	7.0	8	inconclusivo
httpsapublicaorgtrucochecamososeconomistasdosprincipaiscandidato	httpsapublicaorg	2018-10-04	setor público brasileiro menor taxa investimento setor público história pib	mauro benevid economista campanha ciro gome pdt diss entrevista programa roda viva tv cultura setor público brasileiro menor taxa investimento setor público história pib	checamo economista principai candidato agência pública	8.0	8	verdadeiro
httpsaosfatosorgnoticiasbolsonaronaofoicitadocomoproximopresidentenoprogramasilviosanto	httpswwwaosfatosorg	2018-08-22	programa silvio santo suger bolsonaro próximo president vai salvar brasil corrupto	conteúdo edita adultera trecho programa silvio santo exibido outubro ano passado sbt tentar favorec presidenciável psl versão origin apresentador cita bolsonaro ainda critica participant plateia mencion nome candidato chutar resposta	bolsonaro citado próximo president programa silvio santo fato	4.0	5	falso
httpsapublicaorgtrucopostfalsodizquebolsonaroestaproximodevencernooturno	httpsapublicaorg	2018-09-13	jair bolsonaro perto vencer eleição primeiro turno brasil afirma agência americana previu exatidão vitória trump eua	post página mulher unida favor bolsonaro diz jair bolsonaro perto vencer eleição primeiro turno brasil afirma agência americana previu exatidão vitória trump eua	post falso diz bolsonaro próximo vencer turno agência pública	1.0	8	falso
